row ID,row m/z,row retention time,10_Wax_QC.CDF Peak area,11_Wax_Callo_52_9mg_3.CDF Peak area,12_Wax_Brote_14_5mg_1.CDF Peak area,13_Wax_Brote_50 _ 1mg_3.CDF Peak area,14_Wax_Brote_44_2 mg_2.CDF Peak area,15_Wax_Brote_76_08mg_1.CDF Peak area,16_Wax_Brote_25_ 3 mg_1.CDF Peak area,17_Wax_Brote_33_5 mg_3.CDF Peak area,18_Wax_Brote_6_6mg_2.CDF Peak area,19_Wax_Brote_22_3mg_2.CDF Peak area,20_Wax_Brote_6_6mg_1.CDF Peak area,21_Wax_QC.CDF Peak area,22_Wax_Brote_76_08mg_2.CDF Peak area,23_Wax_Brote_50 _ 1mg_2.CDF Peak area,24_Wax_Brote_33_4mg_1.CDF Peak area,25_Wax_Brote_44_2 mg_3.CDF Peak area,26_Wax_Brote_6_8mg_1.CDF Peak area,27_Wax_Brote_12_5mg_2.CDF Peak area,28_Wax_Brote_24_ 8mg_3.CDF Peak area,29_Wax_Brote_25_ 3 mg_3.CDF Peak area,30_Wax_Brote_33_4mg_2.CDF Peak area,31_Wax_Brote_22_3mg_3.CDF Peak area,32_Wax_QC.CDF Peak area,34_Wax_Brote_14_5mg_2.CDF Peak area,35_Wax_Brote_76_08mg_3.CDF Peak area,36_Wax_Callo_40_2mg_1.CDF Peak area,37_Wax_Brote_27_8 mg_1.CDF Peak area,38_Wax_Callo_40_2mg_3.CDF Peak area,39_Wax_Callo_52_9mg_1.CDF Peak area,40_Wax_Brote_6_6mg_2.CDF Peak area,41_Wax_Brote_12_5mg_3.CDF Peak area,42_Wax_Callo_56_2mg_2.CDF Peak area,43_Wax_Brote_33_5 mg_2.CDF Peak area,44_Wax_QC.CDF Peak area,45_Wax_Callo_52_9mg_2.CDF Peak area,46_Wax_Brote_33_4mg_3.CDF Peak area,47_Wax_Brote_12_5mg_1.CDF Peak area,48_Wax_Brote_6_8mg_3.CDF Peak area,49_Wax_Brote_27_8 mg_2.CDF Peak area,50_Wax_Brote_24_ 8mg_1.CDF Peak area,51_Wax_Brote_33_5 mg_1.CDF Peak area,52_Wax_Brote_14_5mg_3.CDF Peak area,53_Wax_Brote_24_ 8mg_2.CDF Peak area,54_Wax_Brote_44_2 mg_1.CDF Peak area,55_Wax_QC.CDF Peak area,57_Wax_Brote_27_8 mg_3.CDF Peak area,58_Wax_Brote_22_3mg_1.CDF Peak area,59_Wax_Callo_40_2mg_2.CDF Peak area,5_Wax_Ext_blank.CDF Peak area,60_Wax_Brote_50 _ 1mg_1.CDF Peak area,61_Wax_Callo_56_2mg_3.CDF Peak area,62_Wax_Callo_56_2mg_1.CDF Peak area,63_Wax_Brote_6_8mg_2.CDF Peak area,64_Wax_Brote_25_ 3 mg_2.CDF Peak area,65_Wax_QC.CDF Peak area,66_Wax_QC.CDF Peak area,9_Wax_QC.CDF Peak area
1,0,3.03,1096.2927904232693,1693.3125004730869,1299.247110978261,1447.2456592350575,999.7900476314284,768.3946073955643,1101.0858971834566,575.9529482103892,1093.8601752943603,1736.1341018041,1463.7615892678666,1659.5274942372034,1603.03959911957,1845.6691370058459,1194.3171708059026,1398.060358658234,0.0,0.0,1752.6711761576678,1283.0473366011329,1380.3858060166358,1313.5187257005389,25.02246435710693,1518.510255729613,3202.8251289803393,1733.0362909419073,1262.5424314292075,1265.344296869445,1964.3318981576926,1912.8575526887,2611.77692463558,2582.075109304772,1713.5464573823815,167.4956227567382,986.4269119892233,602.4150308171452,2447.260619654688,3520.045045615391,1522.87267732469,2136.710607596277,1349.9220190994154,275.1526868991783,1660.996584801638,1785.9410331447982,168.2719780328626,1190.3236295727284,593.4519182566778,47.901424734264786,1085.4372121123629,639.9132586613446,1182.9477842955725,1356.9452803001539,792.5776239044625,869.5633123000191,353.5392703774992,185.97834484031148,454.9638795242653
2,0,3.03,0.0,3.5474700971074484,0.6503107605856018,2.731192731664087,0.0,0.0,1.8999886137559772,0.0,0.0,3.430658728617193,1.7263380709128695,0.0,0.0,2.5047500086234327,0.0,0.0,3545.234943615837,10082.871859387309,0.0,1.3575355255541297,4.266543326341076,5.0009071277718515,0.0,1.755111208580196,0.0,2.6528206843182613,0.0,2.343724499433333,0.0,0.0,0.0,0.0,0.0,1.868690513490192,5.3229688875319745,0.6094289362707045,0.0,4115.907380872163,1.6543917742140468,0.0,0.0,2.3725757761787607,1.50298617744948,0.08927411225446479,0.07265497140289902,0.0,2.748507965522748,0.8377285006571158,1.0616493209016389,1.82816598640014,0.0,0.0,5158.214332598726,2.291569687451489,0.4873723144878328,0.0,0.0
3,0,3.03,0.0,0.0,7.432472016678865,6.3008817153354695,4.250909475806616,11.805479697504554,0.0,21.992319697110034,0.0,0.0,10.80405817791897,0.0,0.0,7.154425900761847,6.392933190481086,11.52148427859786,6057.33107197395,0.0,651.4278074978246,1.1271291950393267,8.50096765587911,8.33975556723154,0.0,0.0,0.0,1.667589784726366,0.0,0.0,4.731784115854247,1.5214130570328308,0.0,0.0,0.0,3.1501276359819186,13.75240043339693,15.521588905839193,0.0,0.0,8.816413082975682,13.789770173015535,0.0,0.4479162022244759,3.1116365064015548,0.0,0.0,0.0,13.863470556313553,0.3967749330236094,11.089172645867746,20.410470661058973,6.133145257330001,8.437189040984288,36.881650991962985,11.78456120793848,11.274640457114424,0.0,0.0
4,0,3.06,280.233738704049,32144.64994212032,36192.88869196184,33304.997807894884,35396.515886030895,33408.128216607925,31480.590289859552,30143.388495088522,0.0,35186.50096576078,0.0,438.2956040339191,34161.852590271985,41239.34798363129,29843.623914515487,35814.50862763838,42173.583960801516,34543.05024919047,37922.72289801126,39193.249711443685,40546.779222396544,36671.79985986805,383.6982142811563,39348.457819253614,36183.5346145512,35041.563083513734,35610.27284682021,41386.7165890944,31732.305940695096,0.0,44340.36511344063,30022.92243276998,33285.365534075856,503.6629959359972,35610.855900335424,37720.63838427474,40630.59650694907,40603.68897424712,37764.923046898766,37111.84922787736,41194.05752139688,19607.96417429386,39265.93368624047,36373.323535871816,333.0033748470004,39927.49029454455,30199.786715897248,17925.613014339713,31084.874990467637,31457.547970331427,28572.755355869263,32440.44588993187,30808.128375395016,32745.33545498757,191.25539093482246,306.78844623031745,575.9789628195327
5,0,3.06,10925.397884260423,19566.425166030025,10232.48219939107,14467.79073617215,11739.852254256008,37792.46745347557,22352.968884223428,48268.33314788843,27264.18065717666,22137.318741728046,29680.075040802887,6649.432048984457,30632.92845794062,16342.435954205224,24207.97357518749,26155.51853065496,0.0,11419.912502488953,20682.021957958892,21456.436063903817,27270.416401290026,30855.982840000604,11183.229194410835,31262.989136837936,21880.98006150334,11429.132802976654,32624.242666704453,13918.796893945908,16082.931547319331,25470.007435451866,21933.06965777489,13514.230431897044,30086.63703619795,8811.319410917316,15492.873861469208,22670.792868289092,10491.771933956225,0.0,28752.095331575805,17331.340695871393,47496.80018345997,23131.37993497167,18721.152486394923,20765.21987839657,8099.352047629743,12036.300842900891,19330.58103340063,2849.226377063156,9426.916332648776,7228.975245574235,10243.861134927436,8680.312781178123,0.0,21055.465311502005,9294.641632263136,7854.712675131151,9531.825921980286
6,0,3.10,1308.2300823303774,2030.9903590044025,429.53191629533006,530.9606617962388,1252.0077468179456,2260.472780245669,0.0,71.07584126387191,223.2140303071737,2355.214143610544,154.98938339904316,82.91894674026848,114.5178077372438,179.2521927039834,1266.4019328496865,103.03542358279378,6827.66204476722,3703.2335720727992,263.9509609818866,952.6773050900186,607.9510215018488,157.16271484400724,482.2470075294378,667.6373937073332,2951.4454643554413,2944.537349173922,2225.6850485156265,897.3135533503461,571.840730396119,812.5258160419377,1532.4099948094292,135.3100683059015,89.65848440423538,830.9844559504647,596.2086009482349,214.72411478364987,6703.721560233483,39.227306960166715,276.0272978207666,1965.345536161349,234.79380294901358,2421.5797912255052,1227.9911483844608,7018.325416779014,31.09348331785285,1646.6401194300404,629.7937366718503,0.0,471.4472622726952,1291.5226646374058,5537.570124489148,617.8916069144612,0.0,2246.2452442909207,163.09599191609115,970.8164625077533,75.75055348945325
7,0,3.10,8.089632628674227,0.0,318.9144274847583,7.052541019133281,0.8872963622148963,1206.8971947613832,2544.7329635342708,1239.785633139077,2.8045394118553757,0.0,2.557726774707215,1.1485723619515764,62.23315990058037,18.847459068366124,2873.4960285461248,3347.479513051197,0.0,0.0,4.824937823329847,13.112865233805127,1179.5089387254934,6.754761977679008,10.159596727632664,4.320675283894962,2.277595431290949,4068.3943625749407,9.634463222820976,4.455744974323579,3185.788749510169,4.858213404401709,0.0,3.6561241993536133,10.6607805264327,3.780524717916851,581.2548464150274,5.30302429196295,0.0,10.895212159301096,7.671368599177924,0.0,181.7636999645165,3.834005532137864,4.3264218272391135,2903.733828092871,167.6742875542932,1652.7883161624036,611.6978672669762,744.3820426605914,437.3734880930683,20.05819199629316,5215.405464464598,3801.048362070625,15039.061790962907,386.6125810421925,8.526914877710638,127.96309288449238,1.691720532064532
8,0,3.10,13.604660798179667,0.0,20.022370044916773,0.0,4.0496607938199976,16.902744684758378,7.2227203318937905,7.029388600250195,2.6233326682891094,0.0,5.767701332237139,8.620507739997404,12.304320168367395,19.562919898440946,10.31212751026491,24.21992531116521,0.0,0.0,15.2984374645776,8.30796273005494,12.947094965962313,25.022303568483487,62.77775915461362,13.303355295456132,0.0,3.1093706466795994,14.831892903648932,22.118237711810842,11.547167088425002,0.0,0.0,16.42756362786347,8.187298770053328,42.96086833005303,19.709439049146635,0.20631906549107576,0.0,5.291877971614115,15.904080472707054,6.963727215383778,0.0,21.960654272938037,5.4080520487660015,0.0,0.0,28.30688399469823,2.5030747288020683,12874.137237295818,8.83059402234369,45.830242713876636,0.0,16.29367251464264,0.0,0.6736114295986209,39.747930598846594,100.00648770305187,7.210640558886078
9,0,3.19,0.0,666.6794998093914,21.530599685044308,80.268604255786,63.96954392125887,81.69325208947518,0.0,553.1700702864068,306.1201568545557,0.0,0.0,0.0,7.882910697294957,608.8975619660226,645.1864838831483,0.0,177.65273654307651,98.66521807555266,2.9170821718125226,494.9526950746977,986.8608364284787,79.36409632084758,0.0,35.922391729264454,367.2405134537156,1938.2941392322346,0.0,0.0,0.0,25.269721859041294,414.1285325068355,124.42781704104613,385.6850196515937,0.6609609114449384,0.0,145.3165724128978,0.0,63.37697567531311,0.0,378.6420690819001,0.0,26.68335346442433,692.6849563321701,10.002505158658627,0.0,1112.2424111464927,333.09109347089657,373.9351413553837,456.70802660457696,55.29956872602662,1231.1554433544757,1534.4884000914078,232.17183833779146,561.4430658393703,0.0,0.9095782177911834,37.50794655693369
10,0,3.19,0.0,0.0,9.42333484416706,0.0,0.0,0.0,0.0,0.0,287.9145906482262,0.0,231.6169498341732,65.41868408014271,0.0,0.0,0.0,289.3192057153548,0.0,61.496669607484534,0.0,0.0,0.0,0.0,0.0,297.66585726463984,408.8924316227542,231.35319854130245,15.466263119537382,377.25541475442424,2410.3063476000398,0.5930049984850166,0.0,0.0,164.02704312839987,0.0,624.8463652108172,45.033846024677175,0.0,257.5818706330068,213.2420277152607,828.5632192320437,442.8842713943658,19.998619710986052,863.3030956108861,5.544309071106326,0.0,5.867020739132205,0.0,279.37403594647407,0.0,0.0,0.0,0.0,204.75213705278676,0.0,7.437532359123763,0.0,0.0
