Unknown: Rt: 49.6558 (Align ID: 1) @ 16-Hydroxyhexadecanoic acid (2TMS)Compound in Library Factor = N/A
Hit 31 : <<Oxalic acid, allyl tetradecyl ester>>;<<C19H34O4>>; MF: 652; RMF: 764; Prob: -1.00; CAS:0; Mw: 326; Lib: <<mainlib>>; Id: 3436; RI: 0.
Hit 32 : <<Oxirane, [(dodecyloxy)methyl]->>;<<C15H30O2>>; MF: 680; RMF: 763; Prob: -1.00; CAS:2461-18-9; Mw: 242; Lib: <<replib>>; Id: 7321; RI: 1802.
Hit 33 : <<Dichloroacetic acid, tetradecyl ester>>;<<C16H30Cl2O2>>; MF: 660; RMF: 762; Prob: -1.00; CAS:83005-02-1; Mw: 324; Lib: <<mainlib>>; Id: 8542; RI: 0.
Hit 34 : <<Sulfurous acid, octadecyl 2-propyl ester>>;<<C21H44O3S>>; MF: 657; RMF: 762; Prob: -1.00; CAS:0; Mw: 376; Lib: <<mainlib>>; Id: 8613; RI: 0.
Hit 35 : <<Carbonic acid, eicosyl vinyl ester>>;<<C23H44O3>>; MF: 695; RMF: 761; Prob: -1.00; CAS:0; Mw: 368; Lib: <<mainlib>>; Id: 29253; RI: 2497.
Hit 36 : <<Behenyl acrylate>>;<<C25H48O2>>; MF: 685; RMF: 759; Prob: -1.00; CAS:18299-85-9; Mw: 380; Lib: <<mainlib>>; Id: 23055; RI: 2694.
Hit 37 : <<1-Decanol, 2-hexyl->>;<<C16H34O>>; MF: 677; RMF: 759; Prob: -1.00; CAS:2425-77-6; Mw: 242; Lib: <<replib>>; Id: 7766; RI: 1796.
Hit 38 : <<8-Heptadecene>>;<<C17H34>>; MF: 623; RMF: 758; Prob: -1.00; CAS:2579-04-6; Mw: 238; Lib: <<mainlib>>; Id: 22142; RI: 1675.
Hit 39 : <<2-Tridecanol>>;<<C13H28O>>; MF: 545; RMF: 758; Prob: -1.00; CAS:1653-31-2; Mw: 200; Lib: <<replib>>; Id: 4923; RI: 1510.
Hit 40 : <<Cyclododecanemethanol>>;<<C13H26O>>; MF: 620; RMF: 756; Prob: -1.00; CAS:1892-12-2; Mw: 198; Lib: <<mainlib>>; Id: 23392; RI: 0.
