Unknown: UnknownID=0|RT=49.652                                       Compound in Library Factor = N/A
Hit 31 : <<Hexadecanoic acid, 2-hydroxy-, methyl ester>>;<<C17H34O3>>; MF: 645; RMF: 749; Prob: -1.00; CAS:16742-51-1; Mw: 286; Lib: <<mainlib>>; Id: 8599; RI: 2047.
Hit 32 : <<Hexadecane, 1-(ethenyloxy)->>;<<C18H36O>>; MF: 577; RMF: 749; Prob: -1.00; CAS:822-28-6; Mw: 268; Lib: <<mainlib>>; Id: 27745; RI: 0.
Hit 33 : <<Oxalic acid, cyclobutyl heptadecyl ester>>;<<C23H42O4>>; MF: 569; RMF: 749; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 23038; RI: 0.
Hit 34 : <<Cyclotetradecane, 1,7,11-trimethyl-4-(1-methylethyl)->>;<<C20H40>>; MF: 562; RMF: 749; Prob: -1.00; CAS:1786-12-5; Mw: 280; Lib: <<mainlib>>; Id: 23066; RI: 1981.
Hit 35 : <<Carbonic acid, allyl heptadecyl ester>>;<<C21H40O3>>; MF: 607; RMF: 748; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 94696; RI: 0.
Hit 36 : <<Octyl tetracosyl ether>>;<<C32H66O>>; MF: 573; RMF: 748; Prob: -1.00; CAS:0; Mw: 466; Lib: <<mainlib>>; Id: 29072; RI: 3252.
Hit 37 : <<Carbonic acid, eicosyl vinyl ester>>;<<C23H44O3>>; MF: 587; RMF: 747; Prob: -1.00; CAS:0; Mw: 368; Lib: <<mainlib>>; Id: 29253; RI: 2497.
Hit 38 : <<Triacontan-15-ol>>;<<C30H62O>>; MF: 576; RMF: 747; Prob: -1.00; CAS:31849-26-0; Mw: 438; Lib: <<mainlib>>; Id: 30128; RI: 3210.
Hit 39 : <<1-Decanol, 2-hexyl->>;<<C16H34O>>; MF: 575; RMF: 747; Prob: -1.00; CAS:2425-77-6; Mw: 242; Lib: <<replib>>; Id: 7766; RI: 1796.
Hit 40 : <<Tetracosan-10-yl acetate>>;<<C26H52O2>>; MF: 571; RMF: 745; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 30127; RI: 2431.
Hit 41 : <<Dihydrophytol, TMS derivative>>;<<C23H50OSi>>; MF: 548; RMF: 745; Prob: -1.00; CAS:78695-20-2; Mw: 370; Lib: <<mainlib>>; Id: 29630; RI: 0.
Hit 42 : <<1-Heptadecene>>;<<C17H34>>; MF: 514; RMF: 745; Prob: -1.00; CAS:6765-39-5; Mw: 238; Lib: <<replib>>; Id: 2165; RI: 1692.
Hit 43 : <<Trichloroacetic acid, hexadecyl ester>>;<<C18H33Cl3O2>>; MF: 557; RMF: 742; Prob: -1.00; CAS:74339-54-1; Mw: 386; Lib: <<mainlib>>; Id: 8564; RI: 2405.
Hit 44 : <<Oxalic acid, cyclobutyl octadecyl ester>>;<<C24H44O4>>; MF: 557; RMF: 741; Prob: -1.00; CAS:0; Mw: 396; Lib: <<mainlib>>; Id: 23039; RI: 0.
Hit 45 : <<1-Octadecanethiol>>;<<C18H38S>>; MF: 508; RMF: 740; Prob: -1.00; CAS:2885-00-9; Mw: 286; Lib: <<replib>>; Id: 2178; RI: 0.
Hit 46 : <<Octacosanol>>;<<C28H58O>>; MF: 593; RMF: 737; Prob: -1.00; CAS:557-61-9; Mw: 410; Lib: <<replib>>; Id: 7558; RI: 3118.
Hit 47 : <<Tridecane, 5-cyclohexyl->>;<<C19H38>>; MF: 562; RMF: 737; Prob: -1.00; CAS:13151-90-1; Mw: 266; Lib: <<mainlib>>; Id: 29616; RI: 1866.
Hit 48 : <<Trichloroacetic acid, tetradecyl ester>>;<<C16H29Cl3O2>>; MF: 547; RMF: 734; Prob: -1.00; CAS:74339-52-9; Mw: 358; Lib: <<mainlib>>; Id: 8558; RI: 2196.
Hit 49 : <<Eicosyl octyl ether>>;<<C28H58O>>; MF: 571; RMF: 732; Prob: -1.00; CAS:0; Mw: 410; Lib: <<mainlib>>; Id: 29070; RI: 2860.
Hit 50 : <<1-Heneicosyl formate>>;<<C22H44O2>>; MF: 551; RMF: 732; Prob: -1.00; CAS:77899-03-7; Mw: 340; Lib: <<mainlib>>; Id: 28107; RI: 0.
Hit 51 : <<13-Tetradecen-1-ol acetate>>;<<C16H30O2>>; MF: 594; RMF: 731; Prob: -1.00; CAS:56221-91-1; Mw: 254; Lib: <<mainlib>>; Id: 10812; RI: 1805.
Hit 52 : <<1-Heptacosanol>>;<<C27H56O>>; MF: 589; RMF: 731; Prob: -1.00; CAS:2004-39-9; Mw: 396; Lib: <<mainlib>>; Id: 30131; RI: 0.
Hit 53 : <<Butyl triacontyl ether>>;<<C34H70O>>; MF: 582; RMF: 731; Prob: -1.00; CAS:0; Mw: 494; Lib: <<mainlib>>; Id: 29650; RI: 3465.
Hit 54 : <<Trichloroacetic acid, pentadecyl ester>>;<<C17H31Cl3O2>>; MF: 558; RMF: 731; Prob: -1.00; CAS:74339-53-0; Mw: 372; Lib: <<mainlib>>; Id: 8559; RI: 2301.
Hit 55 : <<1-Hexadecanol>>;<<C16H34O>>; MF: 544; RMF: 731; Prob: -1.00; CAS:36653-82-4; Mw: 242; Lib: <<mainlib>>; Id: 23386; RI: 1880.
Hit 56 : <<9-Nonadecene>>;<<C19H38>>; MF: 547; RMF: 730; Prob: -1.00; CAS:31035-07-1; Mw: 266; Lib: <<mainlib>>; Id: 22158; RI: 1893.
Hit 57 : <<10-Methyl-9-nonadecene>>;<<C20H40>>; MF: 504; RMF: 730; Prob: -1.00; CAS:0; Mw: 280; Lib: <<mainlib>>; Id: 23280; RI: 0.
Hit 58 : <<Docosyl pentafluoropropionate>>;<<C25H45F5O2>>; MF: 581; RMF: 728; Prob: -1.00; CAS:0; Mw: 472; Lib: <<mainlib>>; Id: 27725; RI: 2384.
Hit 59 : <<Docosyl octyl ether>>;<<C30H62O>>; MF: 564; RMF: 728; Prob: -1.00; CAS:0; Mw: 438; Lib: <<mainlib>>; Id: 29071; RI: 3056.
Hit 60 : <<Carbonic acid, octadecyl vinyl ester>>;<<C21H40O3>>; MF: 563; RMF: 728; Prob: -1.00; CAS:0; Mw: 340; Lib: <<mainlib>>; Id: 29254; RI: 2299.
Hit 61 : <<1-Octadecanol>>;<<C18H38O>>; MF: 524; RMF: 728; Prob: -1.00; CAS:112-92-5; Mw: 270; Lib: <<replib>>; Id: 3420; RI: 2082.
Hit 62 : <<Butyl octacosyl ether>>;<<C32H66O>>; MF: 572; RMF: 727; Prob: -1.00; CAS:0; Mw: 466; Lib: <<mainlib>>; Id: 29649; RI: 3267.
Hit 63 : <<9-Tricosanol, acetate>>;<<C25H50O2>>; MF: 572; RMF: 727; Prob: -1.00; CAS:39754-92-2; Mw: 382; Lib: <<mainlib>>; Id: 28898; RI: 2336.
Hit 64 : <<Oxirane, [(dodecyloxy)methyl]->>;<<C15H30O2>>; MF: 568; RMF: 727; Prob: -1.00; CAS:2461-18-9; Mw: 242; Lib: <<replib>>; Id: 7321; RI: 1802.
Hit 65 : <<1-Methoxyhexacosane>>;<<C27H56O>>; MF: 558; RMF: 727; Prob: -1.00; CAS:237742-59-5; Mw: 396; Lib: <<replib>>; Id: 14863; RI: 2825.
Hit 66 : <<Hexadecane-1,2-diol>>;<<C16H34O2>>; MF: 543; RMF: 727; Prob: -1.00; CAS:6920-24-7; Mw: 258; Lib: <<replib>>; Id: 14870; RI: 0.
Hit 67 : <<Sulfurous acid, cyclohexylmethyl octadecyl ester>>;<<C25H50O3S>>; MF: 538; RMF: 727; Prob: -1.00; CAS:0; Mw: 430; Lib: <<mainlib>>; Id: 87028; RI: 0.
Hit 68 : <<Sulfurous acid, cyclohexylmethyl hexadecyl ester>>;<<C23H46O3S>>; MF: 533; RMF: 727; Prob: -1.00; CAS:0; Mw: 402; Lib: <<mainlib>>; Id: 87026; RI: 0.
Hit 69 : <<Carbonic acid, heptadecyl isobutyl ester>>;<<C22H44O3>>; MF: 574; RMF: 725; Prob: -1.00; CAS:0; Mw: 356; Lib: <<mainlib>>; Id: 28479; RI: 0.
Hit 70 : <<6-Tetradecanesulfonic acid, butyl ester>>;<<C18H38O3S>>; MF: 508; RMF: 725; Prob: -1.00; CAS:0; Mw: 334; Lib: <<mainlib>>; Id: 44878; RI: 0.
Unknown: UnknownID=1|RT=49.693                                       Compound in Library Factor = N/A
Hit 1  : <<Decane, 3,8-dimethyl->>;<<C12H26>>; MF: 723; RMF: 882; Prob: -1.00; CAS:17312-55-9; Mw: 170; Lib: <<replib>>; Id: 7772; RI: 1138.
