Unknown: Rt: 54.1566 (Align ID: 1) @ Phenoxyacetic acid              Compound in Library Factor = N/A
Hit 27 : <<o-Anisic acid, cyclobutyl ester>>;<<C12H14O3>>; MF: 616; RMF: 894; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 148286; RI: 1601.
Hit 28 : <<p-Anisic acid, 4-nitrophenyl ester>>;<<C14H11NO5>>; MF: 611; RMF: 893; Prob: -1.00; CAS:0; Mw: 273; Lib: <<mainlib>>; Id: 149578; RI: 2383.
Hit 29 : <<o-Methoxybenzoic acid, 2-bromo-4-fluorophenyl ester>>;<<C14H10BrFO3>>; MF: 615; RMF: 892; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 148278; RI: 1960.
Hit 30 : <<o-Methoxybenzoic acid, 5-fluoro-2-nitrophenyl ester>>;<<C14H10FNO5>>; MF: 641; RMF: 890; Prob: -1.00; CAS:0; Mw: 291; Lib: <<mainlib>>; Id: 148279; RI: 2020.
Hit 31 : <<o-Anisic acid, 3,4-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 636; RMF: 890; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148294; RI: 2236.
Hit 32 : <<o-Anisic acid, 4-cyanophenyl ester>>;<<C15H11NO3>>; MF: 638; RMF: 889; Prob: -1.00; CAS:0; Mw: 253; Lib: <<mainlib>>; Id: 148293; RI: 2167.
Hit 33 : <<o-Anisic acid, 4-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 635; RMF: 887; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 148290; RI: 2046.
Hit 34 : <<o-Anisic acid, 3,5-dimethylphenyl ester>>;<<C16H16O3>>; MF: 640; RMF: 886; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 148291; RI: 2061.
Hit 35 : <<2-Methoxybenzoic acid, 3-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 609; RMF: 886; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 148302; RI: 0.
Hit 36 : <<p-Anisic acid, 4-cyanophenyl ester>>;<<C15H11NO3>>; MF: 607; RMF: 886; Prob: -1.00; CAS:0; Mw: 253; Lib: <<mainlib>>; Id: 149576; RI: 2244.
Hit 37 : <<p-Methoxybenzoic acid, 2-methylphenyl ester>>;<<C15H14O3>>; MF: 612; RMF: 885; Prob: -1.00; CAS:7504-73-6; Mw: 242; Lib: <<mainlib>>; Id: 149649; RI: 1934.
Hit 38 : <<p-Anisic acid, 3,4-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 605; RMF: 885; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 149577; RI: 2323.
Hit 39 : <<Benzoic acid, 2-methoxy-, phenyl ester>>;<<C14H12O3>>; MF: 633; RMF: 879; Prob: -1.00; CAS:10268-71-0; Mw: 228; Lib: <<mainlib>>; Id: 148359; RI: 1859.
Hit 40 : <<2-Methoxybenzoic acid, 2,5-dichlorophenyl ester>>;<<C14H10Cl2O3>>; MF: 608; RMF: 875; Prob: -1.00; CAS:0; Mw: 296; Lib: <<mainlib>>; Id: 148303; RI: 0.
Hit 41 : <<p-Methoxybenzoic acid, 3,5-difluorophenyl ester>>;<<C14H10F2O3>>; MF: 605; RMF: 875; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 148280; RI: 1850.
Hit 42 : <<p-Anisic acid, 4-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 599; RMF: 874; Prob: -1.00; CAS:0; Mw: 262; Lib: <<mainlib>>; Id: 149574; RI: 2117.
Hit 43 : <<2-Methoxybenzoic acid, 2-biphenyl ester>>;<<C20H16O3>>; MF: 629; RMF: 870; Prob: -1.00; CAS:0; Mw: 304; Lib: <<mainlib>>; Id: 148314; RI: 0.
Hit 44 : <<1,2-Benzenediol, O,O'-di(4-methoxybenzoyl)->>;<<C22H18O6>>; MF: 597; RMF: 869; Prob: -1.00; CAS:0; Mw: 378; Lib: <<mainlib>>; Id: 149583; RI: 0.
Hit 45 : <<1,3-Benzenediol, o-(2-furoyl)-o'-(2-methoxybenzoyl)->>;<<C19H14O6>>; MF: 637; RMF: 866; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 149590; RI: 0.
Hit 46 : <<o-Methoxybenzoic acid, 2-isopropoxyphenyl ester>>;<<C17H18O4>>; MF: 598; RMF: 866; Prob: -1.00; CAS:0; Mw: 286; Lib: <<mainlib>>; Id: 149568; RI: 1978.
Hit 47 : <<4-Methoxybenzoic acid, 2,4,5-trichlorophenyl ester>>;<<C14H9Cl3O3>>; MF: 594; RMF: 860; Prob: -1.00; CAS:0; Mw: 330; Lib: <<mainlib>>; Id: 149599; RI: 2508.
Hit 48 : <<p-Anisic acid, tridec-2-ynyl ester>>;<<C21H30O3>>; MF: 594; RMF: 858; Prob: -1.00; CAS:0; Mw: 330; Lib: <<mainlib>>; Id: 149572; RI: 2534.
Hit 49 : <<4-Methoxybenzoic acid, 4-isopropylphenyl ester>>;<<C17H18O3>>; MF: 617; RMF: 855; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 149595; RI: 0.
Hit 50 : <<(3-Cyclohexyl-5-hydroxy-5-trifluoromethyl-4,5-dihydro-pyrazol-1-yl)-(4-methoxy-phenyl)-methanone>>;<<C18H21F3N2O3>>; MF: 693; RMF: 854; Prob: -1.00; CAS:0; Mw: 370; Lib: <<mainlib>>; Id: 151734; RI: 0.
Hit 51 : <<1,2-Benzenediol, O-(4-methoxybenzoyl )-O'-(2-furoyl)->>;<<C19H14O6>>; MF: 602; RMF: 853; Prob: -1.00; CAS:0; Mw: 338; Lib: <<mainlib>>; Id: 149709; RI: 0.
Hit 52 : <<Meridinol>>;<<C20H18O7>>; MF: 695; RMF: 852; Prob: -1.00; CAS:120051-54-9; Mw: 370; Lib: <<mainlib>>; Id: 149647; RI: 3112.
Hit 53 : <<1,3-Benzenediol, o-(2-chlorobenzoyl)-o'-(2-methoxybenzoyl)->>;<<C21H15ClO5>>; MF: 620; RMF: 848; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 149738; RI: 0.
Hit 54 : <<4-Methoxybenzoic acid, 3,4-dimethylphenyl ester>>;<<C16H16O3>>; MF: 616; RMF: 848; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 149594; RI: 0.
Hit 55 : <<Benzoic acid, 4-methoxy-, 4-(trans-4-pentylcyclohexyl)phenyl ester>>;<<C25H32O3>>; MF: 583; RMF: 848; Prob: -1.00; CAS:1229648-08-1; Mw: 380; Lib: <<mainlib>>; Id: 149719; RI: 0.
Hit 56 : <<1,3-Benzenediol, o-(2-trifluoromethylbenzoyl)-o'-(2-methoxybenzoyl)->>;<<C22H15F3O5>>; MF: 582; RMF: 845; Prob: -1.00; CAS:0; Mw: 416; Lib: <<mainlib>>; Id: 149591; RI: 0.
Hit 57 : <<p-Methoxybenzoic acid, 2-bromo-4-fluorophenyl ester>>;<<C14H10BrFO3>>; MF: 600; RMF: 840; Prob: -1.00; CAS:0; Mw: 324; Lib: <<mainlib>>; Id: 149569; RI: 2010.
Hit 58 : <<o-Anisic acid, 4-methoxyphenyl ester>>;<<C15H14O4>>; MF: 606; RMF: 838; Prob: -1.00; CAS:0; Mw: 258; Lib: <<mainlib>>; Id: 148292; RI: 2127.
Hit 59 : <<2-Methoxybenzoic acid, 2,4-dichloronaphthyl-1 ester>>;<<C18H12Cl2O3>>; MF: 602; RMF: 838; Prob: -1.00; CAS:0; Mw: 346; Lib: <<mainlib>>; Id: 148315; RI: 0.
Hit 60 : <<p-Methoxybenzoic acid, 2-isopropoxyphenyl ester>>;<<C17H18O4>>; MF: 578; RMF: 837; Prob: -1.00; CAS:0; Mw: 286; Lib: <<mainlib>>; Id: 149804; RI: 2200.
Hit 61 : <<Furazan-3-amine, 4-(3,4-methylenedioxybenzyloxy)->>;<<C10H9N3O4>>; MF: 578; RMF: 837; Prob: -1.00; CAS:0; Mw: 235; Lib: <<mainlib>>; Id: 148281; RI: 0.
Hit 62 : <<Bis[3,4-methylenedioxybenzyl]sulfone>>;<<C16H14O6S>>; MF: 579; RMF: 835; Prob: -1.00; CAS:49647-49-6; Mw: 334; Lib: <<mainlib>>; Id: 148047; RI: 0.
Hit 63 : <<Benzoic acid, 4-methoxy-, phenyl ester>>;<<C14H12O3>>; MF: 599; RMF: 834; Prob: -1.00; CAS:4181-97-9; Mw: 228; Lib: <<replib>>; Id: 27164; RI: 1906.
Hit 64 : <<p-Methoxybenzoic acid, 2-chlorophenyl ester>>;<<C14H11ClO3>>; MF: 592; RMF: 834; Prob: -1.00; CAS:7465-89-6; Mw: 262; Lib: <<mainlib>>; Id: 149655; RI: 1981.
Hit 65 : <<p-Anisic acid, 3,5-dimethylphenyl ester>>;<<C16H16O3>>; MF: 574; RMF: 834; Prob: -1.00; CAS:0; Mw: 256; Lib: <<mainlib>>; Id: 149575; RI: 2140.
Hit 66 : <<1,2-Benzenediol, o-(4-methoxybenzoyl)-o'-(2-chlorobenzoyl)->>;<<C21H15ClO5>>; MF: 569; RMF: 830; Prob: -1.00; CAS:0; Mw: 382; Lib: <<mainlib>>; Id: 149737; RI: 0.
Hit 67 : <<1,2-Benzenediol, O-(4-methoxybenzoyl)-O'-(2-trifluoromethylbenzoyl)->>;<<C22H15F3O5>>; MF: 576; RMF: 827; Prob: -1.00; CAS:0; Mw: 416; Lib: <<mainlib>>; Id: 149764; RI: 0.
Hit 68 : <<p-Methoxybenzoic acid, 5-fluoro-2-nitrophenyl ester>>;<<C14H10FNO5>>; MF: 592; RMF: 825; Prob: -1.00; CAS:0; Mw: 291; Lib: <<mainlib>>; Id: 149570; RI: 2267.
Hit 69 : <<5-[3,4-Methylenedioxybenzyl]hydantoin>>;<<C11H10N2O4>>; MF: 569; RMF: 825; Prob: -1.00; CAS:62682-17-1; Mw: 234; Lib: <<mainlib>>; Id: 148360; RI: 0.
Hit 70 : <<o-Anisic acid, tridec-2-ynyl ester>>;<<C21H30O3>>; MF: 565; RMF: 824; Prob: -1.00; CAS:0; Mw: 330; Lib: <<mainlib>>; Id: 149567; RI: 2516.
Unknown: Rt: 54.3231 (Align ID: 4) @ Linoleic acid (1TMS)            Compound in Library Factor = N/A
Hit 1  : <<Bromine azide>>;<<BrN3>>; MF: 385; RMF: 924; Prob: -1.00; CAS:13973-87-0; Mw: 121; Lib: <<mainlib>>; Id: 214; RI: 0.
Hit 2  : <<Cyclopropane, 1-bromo-1-chloro-2-fluoro->>;<<C3H3BrClF>>; MF: 178; RMF: 861; Prob: -1.00; CAS:24071-59-8; Mw: 172; Lib: <<mainlib>>; Id: 82246; RI: 0.
Hit 3  : <<Bromonitromethane>>;<<CH2BrNO2>>; MF: 428; RMF: 826; Prob: -1.00; CAS:563-70-2; Mw: 139; Lib: <<mainlib>>; Id: 82613; RI: 0.
Hit 4  : <<Bicyclo[4.1.0]heptane, 7-methylene->>;<<C8H12>>; MF: 290; RMF: 796; Prob: -1.00; CAS:54211-14-2; Mw: 108; Lib: <<replib>>; Id: 17517; RI: 0.
Hit 5  : <<1-Methylene-2-vinylcyclopentane>>;<<C8H12>>; MF: 300; RMF: 783; Prob: -1.00; CAS:6196-78-7; Mw: 108; Lib: <<mainlib>>; Id: 82389; RI: 0.
Hit 6  : <<2-Methyl-3-(3-methyl-but-2-enyl)-2-(4-methyl-pent-3-enyl)-oxetane>>;<<C15H26O>>; MF: 443; RMF: 772; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 40715; RI: 0.
Hit 7  : <<1-Methylene-2b-hydroxymethyl-3,3-dimethyl-4b-(3-methylbut-2-enyl)-cyclohexane>>;<<C15H26O>>; MF: 381; RMF: 767; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 40990; RI: 0.
Hit 8  : <<2R-Acetoxymethyl-1,3,5-trimethyl-4c-(3-methyl-2-buten-1-yl)-1c-cyclohexanol>>;<<C17H30O3>>; MF: 404; RMF: 759; Prob: -1.00; CAS:0; Mw: 282; Lib: <<mainlib>>; Id: 41070; RI: 0.
Hit 9  : <<Bromomethyl methyl ether>>;<<C2H5BrO>>; MF: 371; RMF: 742; Prob: -1.00; CAS:13057-17-5; Mw: 124; Lib: <<mainlib>>; Id: 19517; RI: 0.
Hit 10 : <<3-Methylenecycloheptene>>;<<C8H12>>; MF: 276; RMF: 738; Prob: -1.00; CAS:34564-56-2; Mw: 108; Lib: <<mainlib>>; Id: 82410; RI: 0.
Hit 11 : <<1-Formyl-2,2,6-trimethyl-3-cis-(3-methylbut-2-enyl)-5-cyclohexene>>;<<C15H24O>>; MF: 415; RMF: 731; Prob: -1.00; CAS:0; Mw: 220; Lib: <<mainlib>>; Id: 41584; RI: 0.
Hit 12 : <<2R-Acetoxymethyl-1,3,3-trimethyl-4t-(3-methyl-2-buten-1-yl)-1t-cyclohexanol>>;<<C17H30O3>>; MF: 369; RMF: 729; Prob: -1.00; CAS:0; Mw: 282; Lib: <<mainlib>>; Id: 41725; RI: 0.
Hit 13 : <<1(2H)-Naphthalenone, 6-(1,1-dimethylethyl)octahydro-2,8a-dimethyl->>;<<C16H28O>>; MF: 235; RMF: 725; Prob: -1.00; CAS:54869-06-6; Mw: 236; Lib: <<mainlib>>; Id: 3446; RI: 0.
Hit 14 : <<10-Pentadecen-5-yn-1-ol, (E)->>;<<C15H26O>>; MF: 136; RMF: 724; Prob: -1.00; CAS:64275-59-8; Mw: 222; Lib: <<mainlib>>; Id: 3586; RI: 0.
Hit 15 : <<2R-Acetoxymethyl-1,3,3-trimethyl-4t-(3-methyl-2-buten-1-yl)-1c-cyclohexanol>>;<<C17H30O3>>; MF: 412; RMF: 720; Prob: -1.00; CAS:0; Mw: 282; Lib: <<mainlib>>; Id: 147945; RI: 0.
Hit 16 : <<3,7,11-Trimethyl-3-hydroxy-6,10-dodecadien-1-yl acetate>>;<<C17H30O3>>; MF: 418; RMF: 708; Prob: -1.00; CAS:0; Mw: 282; Lib: <<mainlib>>; Id: 41016; RI: 0.
Hit 17 : <<(9S,10R)-9,10-Epoxy-3Z,6Z-heneicosadiene>>;<<C21H38O>>; MF: 216; RMF: 703; Prob: -1.00; CAS:0; Mw: 306; Lib: <<mainlib>>; Id: 61254; RI: 0.
