Unknown: UnknownID=0|RT=54.14|RI=3244.5                              Compound in Library Factor = N/A
Hit 29 : <<o-Anisic acid, hex-4-yn-3-yl ester>>;<<C14H16O3>>; MF: 428; RMF: 745; Prob: -1.00; CAS:0; Mw: 232; Lib: <<mainlib>>; Id: 148062; RI: 1750.
Hit 30 : <<1-Bromoadamantane>>;<<C10H15Br>>; MF: 410; RMF: 744; Prob: -1.00; CAS:768-90-1; Mw: 214; Lib: <<replib>>; Id: 27038; RI: 1386.
Hit 31 : <<Adamantane-1-carboxylic acid (1-oxo-1,3-dihydroisobenzofuran-5-yl)amide>>;<<C19H21NO3>>; MF: 414; RMF: 735; Prob: -1.00; CAS:0; Mw: 311; Lib: <<mainlib>>; Id: 148599; RI: 0.
Hit 32 : <<Silane, trichloro(2-tricyclo[3.3.1.1(3,7)]dec-1-ylethyl)->>;<<C12H19Cl3Si>>; MF: 400; RMF: 733; Prob: -1.00; CAS:37843-11-1; Mw: 296; Lib: <<mainlib>>; Id: 148550; RI: 0.
Hit 33 : <<5-[3,4-Methylenedioxybenzyl]-2-thiohydantoin>>;<<C11H10N2O3S>>; MF: 400; RMF: 732; Prob: -1.00; CAS:28824-68-2; Mw: 250; Lib: <<mainlib>>; Id: 148458; RI: 0.
Hit 34 : <<1-isocyanatocyclopropyl tricyclo[3.3.1.1(3,7)]dec-1-yl ether>>;<<C14H19NO2>>; MF: 390; RMF: 730; Prob: -1.00; CAS:0; Mw: 233; Lib: <<mainlib>>; Id: 148613; RI: 0.
Hit 35 : <<5-[3,4-Methylenedioxybenzyl]hydantoin>>;<<C11H10N2O4>>; MF: 419; RMF: 729; Prob: -1.00; CAS:62682-17-1; Mw: 234; Lib: <<mainlib>>; Id: 148360; RI: 0.
Hit 36 : <<1-Nitrosoadamantane>>;<<C10H15NO>>; MF: 453; RMF: 726; Prob: -1.00; CAS:22734-10-7; Mw: 165; Lib: <<mainlib>>; Id: 148618; RI: 0.
Hit 37 : <<1-Iodoadamantane>>;<<C10H15I>>; MF: 400; RMF: 726; Prob: -1.00; CAS:768-93-4; Mw: 262; Lib: <<mainlib>>; Id: 148639; RI: 1497.
Hit 38 : <<Chloroacetic acid, 1-adamantylmethyl ester>>;<<C13H19ClO2>>; MF: 411; RMF: 723; Prob: -1.00; CAS:83813-49-4; Mw: 242; Lib: <<mainlib>>; Id: 149708; RI: 0.
Hit 39 : <<N-1-Adamantyl-p-cyanobenzalimine>>;<<C18H20N2>>; MF: 434; RMF: 721; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 149663; RI: 0.
Hit 40 : <<4-Methyl-2-(phenylacetyl)phenol>>;<<C15H14O2>>; MF: 411; RMF: 720; Prob: -1.00; CAS:24258-63-7; Mw: 226; Lib: <<mainlib>>; Id: 151116; RI: 0.
Hit 41 : <<1-Formyl-1-piperonylhydrazine>>;<<C9H10N2O3>>; MF: 418; RMF: 717; Prob: -1.00; CAS:31127-19-2; Mw: 194; Lib: <<mainlib>>; Id: 147827; RI: 0.
Hit 42 : <<3-Amino-4-piperonyl-5-pyrazolone>>;<<C11H11N3O3>>; MF: 427; RMF: 716; Prob: -1.00; CAS:14731-77-2; Mw: 233; Lib: <<mainlib>>; Id: 148054; RI: 0.
Hit 43 : <<3,4-Bis(1,3-benzodioxol-5-ylmethyl)-4-hydroxyoxolan-2-one>>;<<C20H18O7>>; MF: 552; RMF: 712; Prob: -1.00; CAS:2108820-45-5; Mw: 370; Lib: <<mainlib>>; Id: 149659; RI: 3238.
Hit 44 : <<N-1-Adamantyl-p-nitrobenzalimine>>;<<C17H20N2O2>>; MF: 449; RMF: 710; Prob: -1.00; CAS:0; Mw: 284; Lib: <<mainlib>>; Id: 148657; RI: 0.
Hit 45 : <<5-Nitrothiophene-2-carboxaldehyde, 1-adamantylcarbonylhydrazone>>;<<C16H19N3O3S>>; MF: 437; RMF: 710; Prob: -1.00; CAS:42826-31-3; Mw: 333; Lib: <<mainlib>>; Id: 148624; RI: 0.
Hit 46 : <<1-Adamantaneacetic acid>>;<<C12H18O2>>; MF: 444; RMF: 708; Prob: -1.00; CAS:4942-47-6; Mw: 194; Lib: <<replib>>; Id: 27059; RI: 0.
Hit 47 : <<1-Adamantan-1-yl-6-chloro-7-fluoro-4-oxo-1,4-dihydroquinoline-3-carboxylic acid>>;<<C20H19ClFNO3>>; MF: 407; RMF: 705; Prob: -1.00; CAS:0; Mw: 375; Lib: <<mainlib>>; Id: 148564; RI: 0.
Hit 48 : <<1-Adamantanecarboxylic acid, 2-methylphenyl ester>>;<<C18H22O2>>; MF: 395; RMF: 703; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 148658; RI: 0.
Hit 49 : <<1-Adamantanecarboxylic acid, 2-isopropoxyphenyl ester>>;<<C20H26O3>>; MF: 407; RMF: 700; Prob: -1.00; CAS:0; Mw: 314; Lib: <<mainlib>>; Id: 148661; RI: 0.
Hit 50 : <<p-Anisic acid, hex-4-yn-3-yl ester>>;<<C14H16O3>>; MF: 403; RMF: 699; Prob: -1.00; CAS:0; Mw: 232; Lib: <<mainlib>>; Id: 150153; RI: 1796.
Hit 51 : <<3-Methylsalicylhydrazide>>;<<C8H10N2O2>>; MF: 379; RMF: 695; Prob: -1.00; CAS:30991-42-5; Mw: 166; Lib: <<replib>>; Id: 27009; RI: 0.
Hit 52 : <<1,3-Benzodioxole-5-propanal, à-methyl-, oxime (peak 1)>>;<<C11H13NO3>>; MF: 415; RMF: 694; Prob: -1.00; CAS:0; Mw: 207; Lib: <<mainlib>>; Id: 148347; RI: 1703.
Hit 53 : <<3,4-Methylenedioxyphenyl acetone>>;<<C10H10O3>>; MF: 438; RMF: 693; Prob: -1.00; CAS:4676-39-5; Mw: 178; Lib: <<replib>>; Id: 27293; RI: 0.
Hit 54 : <<3-Bromomethyl-bicyclo[3.3.1]non-1(8)-ene>>;<<C10H15Br>>; MF: 417; RMF: 691; Prob: -1.00; CAS:0; Mw: 214; Lib: <<mainlib>>; Id: 148872; RI: 0.
Hit 55 : <<1-Adamantanecarboxylic acid, 3,5-difluorophenyl ester>>;<<C17H18F2O2>>; MF: 390; RMF: 689; Prob: -1.00; CAS:0; Mw: 292; Lib: <<mainlib>>; Id: 148580; RI: 0.
Hit 56 : <<N-1-Adamantyl-p-chlorobenzalimine>>;<<C17H20ClN>>; MF: 403; RMF: 682; Prob: -1.00; CAS:0; Mw: 273; Lib: <<mainlib>>; Id: 148656; RI: 0.
Hit 57 : <<Phosphonic dichloride, 1-adamantyl->>;<<C10H15Cl2OP>>; MF: 412; RMF: 680; Prob: -1.00; CAS:0; Mw: 252; Lib: <<mainlib>>; Id: 148581; RI: 0.
