Unknown: MZmine_GCMS_apolar_49-54min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 28 : <<2-Dimethylisopropylsilyloxybut-3-yne>>;<<C9H18OSi>>; MF: 400; RMF: 446; Prob: -1.00; CAS:0; Mw: 170; Lib: <<mainlib>>; Id: 137458; RI: 0.
Hit 29 : <<1,2-Benzenediol, O-(2-thiophenylcarbonyl)-O'-(4-nitrobenzoyl)->>;<<C18H11NO6S>>; MF: 270; RMF: 443; Prob: -1.00; CAS:0; Mw: 369; Lib: <<mainlib>>; Id: 109297; RI: 0.
Hit 30 : <<Thiophene-2-carbohydrazide, N2-(4-chlorobenzylideno)->>;<<C12H9ClN2OS>>; MF: 442; RMF: 442; Prob: -1.00; CAS:292611-84-8; Mw: 264; Lib: <<mainlib>>; Id: 109390; RI: 0.
Hit 31 : <<4-Fluorophenyl 2-thiophenecarboxylate>>;<<C11H7FO2S>>; MF: 354; RMF: 441; Prob: -1.00; CAS:0; Mw: 222; Lib: <<mainlib>>; Id: 108428; RI: 0.
Hit 32 : <<Thiophene-2-glyoxylic acid>>;<<C6H4O3S>>; MF: 354; RMF: 441; Prob: -1.00; CAS:4075-59-6; Mw: 156; Lib: <<mainlib>>; Id: 108445; RI: 0.
Hit 33 : <<Triallylvinylsilane>>;<<C11H18Si>>; MF: 351; RMF: 438; Prob: -1.00; CAS:17988-47-5; Mw: 178; Lib: <<mainlib>>; Id: 108924; RI: 0.
Hit 34 : <<Diallylvinylmethylsilane>>;<<C9H16Si>>; MF: 350; RMF: 436; Prob: -1.00; CAS:119901-87-0; Mw: 152; Lib: <<mainlib>>; Id: 109021; RI: 0.
Hit 35 : <<2,2'-Thenil>>;<<C10H6O2S2>>; MF: 348; RMF: 434; Prob: -1.00; CAS:7333-07-5; Mw: 222; Lib: <<mainlib>>; Id: 108451; RI: 1885.
Hit 36 : <<Acetic acid, dichloro-, methyl ester>>;<<C3H4Cl2O2>>; MF: 373; RMF: 433; Prob: -1.00; CAS:116-54-1; Mw: 142; Lib: <<replib>>; Id: 9056; RI: 0.
Hit 37 : <<Thiophene-3-carbohydrazide>>;<<C5H6N2OS>>; MF: 397; RMF: 431; Prob: -1.00; CAS:39001-23-5; Mw: 142; Lib: <<mainlib>>; Id: 108447; RI: 0.
Hit 38 : <<2-Thiophenecarboxylic acid hydrazide>>;<<C5H6N2OS>>; MF: 394; RMF: 427; Prob: -1.00; CAS:2361-27-5; Mw: 142; Lib: <<mainlib>>; Id: 109529; RI: 0.
Hit 39 : <<N-Methyl-4-(2-thiophenecarboxamido)phthalimide>>;<<C14H10N2O3S>>; MF: 326; RMF: 427; Prob: -1.00; CAS:307325-91-3; Mw: 286; Lib: <<mainlib>>; Id: 108416; RI: 0.
Hit 40 : <<2-Propanamine, N,N'-[1,3-bis(1-methylethyl)-1,3-diazetidine-2,4-diylidene]bis->>;<<C14H28N4>>; MF: 333; RMF: 423; Prob: -1.00; CAS:17433-10-2; Mw: 252; Lib: <<mainlib>>; Id: 137747; RI: 0.
Hit 41 : <<2-Thiophenecarboxylic acid, 4-cyanophenyl ester>>;<<C12H7NO2S>>; MF: 306; RMF: 422; Prob: -1.00; CAS:0; Mw: 229; Lib: <<mainlib>>; Id: 108457; RI: 1964.
