Unknown: UnknownID=0|RT=38.325|RI=2744.1                             Compound in Library Factor = N/A
Hit 30 : <<Pyrazine, methyl->>;<<C5H6N2>>; MF: 660; RMF: 691; Prob: -1.00; CAS:109-08-0; Mw: 94; Lib: <<mainlib>>; Id: 83542; RI: 829.
Hit 31 : <<Carbonic acid, decyl phenyl ester>>;<<C17H26O3>>; MF: 655; RMF: 691; Prob: -1.00; CAS:0; Mw: 278; Lib: <<mainlib>>; Id: 83506; RI: 0.
Hit 32 : <<3,4-DIMETHYL-1H-PYRROLE>>;<<C6H9N>>; MF: 657; RMF: 689; Prob: -1.00; CAS:822-51-5; Mw: 95; Lib: <<mainlib>>; Id: 83797; RI: 0.
Hit 33 : <<Carbonic acid, nonyl phenyl ester>>;<<C16H24O3>>; MF: 655; RMF: 689; Prob: -1.00; CAS:0; Mw: 264; Lib: <<mainlib>>; Id: 83440; RI: 0.
Hit 34 : <<Carbonic acid, heptyl phenyl ester>>;<<C14H20O3>>; MF: 650; RMF: 686; Prob: -1.00; CAS:0; Mw: 236; Lib: <<mainlib>>; Id: 83497; RI: 0.
Hit 35 : <<2-((Diethoxyphosphoryl)methyl)-5-methylpyrrole>>;<<C10H18NO3P>>; MF: 652; RMF: 684; Prob: -1.00; CAS:0; Mw: 231; Lib: <<mainlib>>; Id: 83801; RI: 0.
Hit 36 : <<Carbamic acid, butylmethyl-, phenyl ester>>;<<C12H17NO2>>; MF: 653; RMF: 678; Prob: -1.00; CAS:54644-61-0; Mw: 207; Lib: <<mainlib>>; Id: 83515; RI: 0.
Hit 37 : <<1-Propanol, 3-phenoxy->>;<<C9H12O2>>; MF: 653; RMF: 678; Prob: -1.00; CAS:6180-61-6; Mw: 152; Lib: <<mainlib>>; Id: 84041; RI: 0.
Hit 38 : <<4-Aminopyridine>>;<<C5H6N2>>; MF: 632; RMF: 665; Prob: -1.00; CAS:504-24-5; Mw: 94; Lib: <<replib>>; Id: 17771; RI: 1158.
Hit 39 : <<Octane, 3-phenoxy->>;<<C14H22O>>; MF: 628; RMF: 663; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 83759; RI: 1480.
Hit 40 : <<4-Isobutylpyrimidine>>;<<C8H12N2>>; MF: 635; RMF: 662; Prob: -1.00; CAS:98489-37-3; Mw: 136; Lib: <<mainlib>>; Id: 83916; RI: 0.
Hit 41 : <<2-Vinylfuran>>;<<C6H6O>>; MF: 635; RMF: 661; Prob: -1.00; CAS:1487-18-9; Mw: 94; Lib: <<mainlib>>; Id: 83514; RI: 725.
Hit 42 : <<2-Chloropropionic acid, phenyl ester>>;<<C9H9ClO2>>; MF: 628; RMF: 660; Prob: -1.00; CAS:0; Mw: 184; Lib: <<mainlib>>; Id: 84085; RI: 1287.
Hit 43 : <<1-Propanol, 2-phenoxy->>;<<C9H12O2>>; MF: 635; RMF: 659; Prob: -1.00; CAS:4169-04-4; Mw: 152; Lib: <<mainlib>>; Id: 84042; RI: 0.
Hit 44 : <<4,5,6,7-Tetrahydro-2H-indazole>>;<<C7H10N2>>; MF: 625; RMF: 659; Prob: -1.00; CAS:15409-56-0; Mw: 122; Lib: <<mainlib>>; Id: 83929; RI: 1447.
Hit 45 : <<Octane, 4-phenoxy->>;<<C14H22O>>; MF: 622; RMF: 657; Prob: -1.00; CAS:0; Mw: 206; Lib: <<mainlib>>; Id: 83758; RI: 1464.
Hit 46 : <<Carbonic acid, pentadecyl phenyl ester>>;<<C22H36O3>>; MF: 621; RMF: 657; Prob: -1.00; CAS:0; Mw: 348; Lib: <<mainlib>>; Id: 83768; RI: 0.
Hit 47 : <<1-Phenoxypropan-2-ol>>;<<C9H12O2>>; MF: 632; RMF: 655; Prob: -1.00; CAS:770-35-4; Mw: 152; Lib: <<replib>>; Id: 17781; RI: 1251.
Hit 48 : <<2-Aminopyridine>>;<<C5H6N2>>; MF: 624; RMF: 653; Prob: -1.00; CAS:504-29-0; Mw: 94; Lib: <<replib>>; Id: 17774; RI: 1002.
Hit 49 : <<1H-imidazole, 5-bicyclo[2.2.1]hept-5-en-2-yl->>;<<C10H12N2>>; MF: 621; RMF: 652; Prob: -1.00; CAS:0; Mw: 160; Lib: <<mainlib>>; Id: 83826; RI: 0.
Hit 50 : <<Hexanamide, 2-butyl-2-hydroxy-N-(2-pyridyl)->>;<<C15H24N2O2>>; MF: 617; RMF: 652; Prob: -1.00; CAS:309725-49-3; Mw: 264; Lib: <<mainlib>>; Id: 83572; RI: 0.
Hit 51 : <<3-Aminopyridine>>;<<C5H6N2>>; MF: 617; RMF: 650; Prob: -1.00; CAS:462-08-8; Mw: 94; Lib: <<replib>>; Id: 17767; RI: 1105.
Hit 52 : <<Carbonic acid, dodecyl phenyl ester>>;<<C19H30O3>>; MF: 616; RMF: 650; Prob: -1.00; CAS:0; Mw: 306; Lib: <<mainlib>>; Id: 83498; RI: 0.
Hit 53 : <<1-Propanesulfonic acid, 3-chloro-, phenyl ester>>;<<C9H11ClO3S>>; MF: 621; RMF: 648; Prob: -1.00; CAS:21297-87-0; Mw: 234; Lib: <<mainlib>>; Id: 83424; RI: 0.
Hit 54 : <<Carbonic acid, sec-butyl phenyl ester>>;<<C11H14O3>>; MF: 622; RMF: 647; Prob: -1.00; CAS:13183-17-0; Mw: 194; Lib: <<mainlib>>; Id: 83499; RI: 0.
Hit 55 : <<Carbonic acid, phenyl undec-10-enyl ester>>;<<C18H26O3>>; MF: 613; RMF: 643; Prob: -1.00; CAS:0; Mw: 290; Lib: <<mainlib>>; Id: 83485; RI: 0.
Hit 56 : <<Carbonic acid, phenyl tetradecyl ester>>;<<C21H34O3>>; MF: 610; RMF: 642; Prob: -1.00; CAS:0; Mw: 334; Lib: <<mainlib>>; Id: 83441; RI: 0.
Hit 57 : <<1H-Pyrrole, 2,5-dimethyl->>;<<C6H9N>>; MF: 605; RMF: 640; Prob: -1.00; CAS:625-84-3; Mw: 95; Lib: <<replib>>; Id: 17825; RI: 902.
Hit 58 : <<Ethanol, 2-phenoxy->>;<<C8H10O2>>; MF: 615; RMF: 639; Prob: -1.00; CAS:122-99-6; Mw: 138; Lib: <<replib>>; Id: 17879; RI: 1225.
Hit 59 : <<1-Pyrazinyl-4-methyl-2-pentanol>>;<<C10H16N2O>>; MF: 613; RMF: 637; Prob: -1.00; CAS:0; Mw: 180; Lib: <<mainlib>>; Id: 83950; RI: 0.
Hit 60 : <<Benzene, (2-butenyloxy)->>;<<C10H12O>>; MF: 606; RMF: 637; Prob: -1.00; CAS:14503-58-3; Mw: 148; Lib: <<mainlib>>; Id: 83481; RI: 0.
Hit 61 : <<Carbonic acid, phenyl tridecyl ester>>;<<C20H32O3>>; MF: 605; RMF: 637; Prob: -1.00; CAS:0; Mw: 320; Lib: <<mainlib>>; Id: 83507; RI: 0.
Hit 62 : <<Carbonic acid, neopentyl phenyl ester>>;<<C12H16O3>>; MF: 609; RMF: 635; Prob: -1.00; CAS:13183-19-2; Mw: 208; Lib: <<mainlib>>; Id: 83456; RI: 1431.
Hit 63 : <<1H-Pyrrole-2-acetic acid, 1-methyl-, methyl ester>>;<<C8H11NO2>>; MF: 606; RMF: 635; Prob: -1.00; CAS:51856-79-2; Mw: 153; Lib: <<replib>>; Id: 17893; RI: 0.
Hit 64 : <<1H-Pyrrole-2-ethanamine, 1-methyl->>;<<C7H12N2>>; MF: 600; RMF: 633; Prob: -1.00; CAS:83732-75-6; Mw: 124; Lib: <<replib>>; Id: 17818; RI: 0.
Hit 65 : <<1,2-Propanediol, 3-phenoxy->>;<<C9H12O3>>; MF: 611; RMF: 632; Prob: -1.00; CAS:538-43-2; Mw: 168; Lib: <<mainlib>>; Id: 83589; RI: 0.
Hit 66 : <<Phosphorodiamidous fluoride, tetramethyl->>;<<C4H12FN2P>>; MF: 601; RMF: 632; Prob: -1.00; CAS:1735-82-6; Mw: 138; Lib: <<replib>>; Id: 17724; RI: 0.
Hit 67 : <<1-Butanol, 2-[[(1-methyl-1H-pyrrol-2-yl)methyl]amino]->>;<<C10H18N2O>>; MF: 590; RMF: 631; Prob: -1.00; CAS:0; Mw: 182; Lib: <<mainlib>>; Id: 84037; RI: 0.
Hit 68 : <<3-Acetyl-1H-pyrroline>>;<<C6H7NO>>; MF: 603; RMF: 628; Prob: -1.00; CAS:1072-82-8; Mw: 109; Lib: <<mainlib>>; Id: 83890; RI: 0.
Hit 69 : <<Benzene, butoxy->>;<<C10H14O>>; MF: 598; RMF: 628; Prob: -1.00; CAS:1126-79-0; Mw: 150; Lib: <<mainlib>>; Id: 84029; RI: 0.
Hit 70 : <<Allophanic acid, butanoyl-, phenyl ester>>;<<C11H12N2O4>>; MF: 600; RMF: 626; Prob: -1.00; CAS:0; Mw: 236; Lib: <<mainlib>>; Id: 83495; RI: 0.
Unknown: UnknownID=1|RT=38.603|RI=2753.2                             Compound in Library Factor = N/A
Hit 1  : <<1H-Pyrrole, 3-methyl->>;<<C5H7N>>; MF: 539; RMF: 847; Prob: -1.00; CAS:616-43-3; Mw: 81; Lib: <<replib>>; Id: 14121; RI: 858.
Hit 2  : <<1H-Pyrrole, 2-methyl->>;<<C5H7N>>; MF: 531; RMF: 823; Prob: -1.00; CAS:636-41-9; Mw: 81; Lib: <<replib>>; Id: 14120; RI: 850.
Hit 3  : <<2,2-Dimethyl-propyl 2,2-dimethyl-propanesulfinyl sulfone>>;<<C10H22O3S2>>; MF: 294; RMF: 818; Prob: -1.00; CAS:82360-14-3; Mw: 254; Lib: <<mainlib>>; Id: 44852; RI: 0.
Hit 4  : <<2-Butanone, 1-(2-furanyl)-3-methyl->>;<<C9H12O2>>; MF: 460; RMF: 817; Prob: -1.00; CAS:20907-04-4; Mw: 152; Lib: <<mainlib>>; Id: 10634; RI: 0.
Hit 5  : <<1-Methylbicyclo[2.2.1]heptan-exo-2-ol>>;<<C8H14O>>; MF: 523; RMF: 777; Prob: -1.00; CAS:766-25-6; Mw: 126; Lib: <<mainlib>>; Id: 62861; RI: 0.
Hit 6  : <<2-Butanone, 1-(2-furanyl)->>;<<C8H10O2>>; MF: 424; RMF: 763; Prob: -1.00; CAS:4208-63-3; Mw: 138; Lib: <<replib>>; Id: 7828; RI: 0.
Hit 7  : <<2-Pentanone, 1-(2-furanyl)->>;<<C9H12O2>>; MF: 424; RMF: 757; Prob: -1.00; CAS:20907-03-3; Mw: 152; Lib: <<mainlib>>; Id: 9902; RI: 0.
Hit 8  : <<N-Methyl-7-azabicyclo(2,2,1)hept-2-ene>>;<<C7H11N>>; MF: 498; RMF: 748; Prob: -1.00; CAS:55590-26-6; Mw: 109; Lib: <<mainlib>>; Id: 2069; RI: 0.
Hit 9  : <<Oxirane, 3-[5-(4-azidophenoxy)-3-methyl-3-pentenyl]-2,2-dimethyl-, (E)-ñ->>;<<C16H21N3O2>>; MF: 365; RMF: 739; Prob: -1.00; CAS:106929-45-7; Mw: 287; Lib: <<mainlib>>; Id: 9903; RI: 0.
Hit 10 : <<Oxirane, 3-[5-(4-azido-2-nitrophenoxy)-3-methyl-3-pentenyl]-2,2-dimethyl-, (E)-ñ->>;<<C16H20N4O4>>; MF: 361; RMF: 738; Prob: -1.00; CAS:106929-47-9; Mw: 332; Lib: <<mainlib>>; Id: 44683; RI: 0.
Hit 11 : <<1H-Pyrrole, 1-methyl->>;<<C5H7N>>; MF: 546; RMF: 728; Prob: -1.00; CAS:96-54-8; Mw: 81; Lib: <<replib>>; Id: 14326; RI: 743.
