Unknown: MZmine_GCMS_apolar_54-56min_to_NIST.mgf file offset = 00000000Compound in Library Factor = N/A
Hit 27 : <<m-Phenylenediamine, N,N,N'-trimethyl-N'-[2-(N-methylanilino)ethyl]->>;<<C18H25N3>>; MF:  73; RMF: 452; Prob: -1.00; CAS:32869-59-3; Mw: 283; Lib: <<mainlib>>; Id: 189997; RI: 0.
Hit 28 : <<4-Amino-benzoic acid, (2-hydroxy-benzylidene)-hydrazide>>;<<C14H13N3O2>>; MF: 106; RMF: 450; Prob: -1.00; CAS:0; Mw: 255; Lib: <<mainlib>>; Id: 124923; RI: 0.
Hit 29 : <<Formamide, N-(2-acetylphenyl)->>;<<C9H9NO2>>; MF:  72; RMF: 445; Prob: -1.00; CAS:5257-06-7; Mw: 163; Lib: <<replib>>; Id: 23804; RI: 1603.
Hit 30 : <<Methanone, (4-aminophenyl)(4-hydroxyphenyl)->>;<<C13H11NO2>>; MF:  85; RMF: 441; Prob: -1.00; CAS:14963-34-9; Mw: 213; Lib: <<replib>>; Id: 23911; RI: 0.
Hit 31 : <<Benzenamine, N-n-butyl-N-methyl->>;<<C11H17N>>; MF:  71; RMF: 440; Prob: -1.00; CAS:3416-49-7; Mw: 163; Lib: <<mainlib>>; Id: 124626; RI: 0.
Hit 32 : <<2-tert-Butyldimethylsilyl-3-(tert-butyldimethylsilyl)amino-1,2,4-triazole>>;<<C14H32N4Si2>>; MF:  93; RMF: 431; Prob: -1.00; CAS:0; Mw: 312; Lib: <<mainlib>>; Id: 265679; RI: 1800.
Hit 33 : <<Benzamide, 2-amino-N-(2-p-tolyloxyethyl)->>;<<C16H18N2O2>>; MF:  84; RMF: 431; Prob: -1.00; CAS:0; Mw: 270; Lib: <<mainlib>>; Id: 190001; RI: 0.
Hit 34 : <<2,6-Dimethoxybenzonitrile>>;<<C9H9NO2>>; MF:  69; RMF: 428; Prob: -1.00; CAS:16932-49-3; Mw: 163; Lib: <<replib>>; Id: 32006; RI: 0.
Hit 35 : <<Succinic acid, 2,2,3,3,4,4,5,5-octafluoropentyl 2-fluoro-3-(trifluoromethyl)phenyl ester>>;<<C16H10F12O4>>; MF: 133; RMF: 424; Prob: -1.00; CAS:0; Mw: 494; Lib: <<mainlib>>; Id: 287942; RI: 1721.
Hit 36 : <<2,5-Dimethoxyphenylacetyl chloride>>;<<C10H11ClO3>>; MF: 104; RMF: 424; Prob: -1.00; CAS:52711-92-9; Mw: 214; Lib: <<mainlib>>; Id: 190433; RI: 0.
Hit 37 : <<4,5-Dihydro-2H-1,4-benzoxazepin-3-one>>;<<C9H9NO2>>; MF:  68; RMF: 422; Prob: -1.00; CAS:34844-80-9; Mw: 163; Lib: <<mainlib>>; Id: 189805; RI: 1791.
Hit 38 : <<Benzonitrile, 3,4-dimethoxy->>;<<C9H9NO2>>; MF:  68; RMF: 422; Prob: -1.00; CAS:2024-83-1; Mw: 163; Lib: <<mainlib>>; Id: 190159; RI: 0.
